,Borough,Neighborhood,Latitude,Longitude
0,North West Delhi,Adarsh Nagar,28.6141925,77.07154118
1,North West Delhi,Ashok Vihar,28.6994533,77.1848256
2,North West Delhi,Azadpur,28.7076568,77.1755473
3,North West Delhi,Bawana,28.79966,77.0328847
4,North West Delhi,Begum Pur,28.7239,77.0609
6,North West Delhi,Jahangirpuri,28.7259717,77.162658
8,North West Delhi,Keshav Puram,28.6889264,77.1616833
9,North West Delhi,Kingsway Camp,28.6142623,77.2015548
10,North West Delhi,Kohat Enclave,28.6980415,77.1405393
11,North West Delhi,Model Town,28.7095,77.1888
12,North West Delhi,Narela,28.8426096,77.0918354
13,North West Delhi,Pitam Pura,28.7032676,77.1322497
14,North West Delhi,Rani Bagh,28.6859821,77.13252447
15,North West Delhi,Rithala,28.7208064,77.1071813
16,North West Delhi,Rohini,28.7383,77.0822
17,North West Delhi,Shalimar Bagh,28.71745265,77.15086655
18,North Delhi,Shakti Nagar,28.67979,77.1949142
19,North Delhi,Bara Hindu Rao,28.6595181,77.20501
20,North Delhi,Chandni Chowk,28.6434826,77.2227421
21,North Delhi,Chawri Bazaar,28.6499269,77.2297876
22,North Delhi,Civil Lines,28.6768572,77.2250565
23,North Delhi,Dariba Kalan,28.6546024,77.2333794
25,North Delhi,Gulabi Bagh,28.672,77.1914
26,North Delhi,Kamla Nagar,28.68034425,77.2021292
27,North Delhi,Kashmiri Gate,28.6699765,77.2320588
28,North Delhi,Kotwali,28.6585978,77.2310844
29,North Delhi,Lahori Gate,28.6568411,77.2185339
30,North Delhi,Nehru Vihar,28.7107447,77.22117438
31,North Delhi,Paharganj,28.6419258,77.2217499
32,North Delhi,Pratap Nagar,28.6667177,77.1988974
33,North Delhi,Pul Bangash,28.6664,77.2074
34,North Delhi,Roshanara Bagh,28.67371835,77.19931978
35,North Delhi,Sadar Bazaar,28.6585,77.2127
36,North Delhi,Sangam Vihar,28.49770245,77.2391741
37,North Delhi,Sant Nagar,28.64641805,77.09118836
38,North Delhi,Sarai Kale Khan,28.5866263,77.25622818
39,North Delhi,Sarai Rohilla,28.6678728,77.1902673
40,North Delhi,Shakti Nagar,28.67979,77.1949142
41,North Delhi,Shastri Nagar,28.6746,77.1802
42,North Delhi,Tis Hazari,28.6646,77.2149
43,North Delhi,Timarpur,28.70126285,77.21867954
44,North Delhi,Wazirabad,28.433762,77.0877572
45,North East Delhi,Babarpur,28.6874305,77.2797551
46,North East Delhi,Dilshad Garden,28.6806819,77.3220645
47,North East Delhi,Kabir Nagar,28.6926703,77.28354435
48,North East Delhi,Mandoli,28.6806042,77.2946902
49,North East Delhi,Maujpur,28.69201345,77.27965143
50,North East Delhi,Nand Nagri,28.6944581,77.31614382
51,North East Delhi,Naveen Shahdara,28.6773386,77.2860157
52,North East Delhi,New Usmanpur,28.6818,77.2579
54,North East Delhi,Shahdara,28.6773038,77.2903467
55,North East Delhi,Sonia Vihar,28.7199257,77.2481823
56,North East Delhi,Shastri Park,28.6684339,77.2505301
57,North East Delhi,Yamuna Vihar,28.700372,77.2727728
58,Central Delhi,Chandni Chowk,28.6434826,77.2227421
59,Central Delhi,Daryaganj,28.64609,77.243048
60,Central Delhi,Jhandewalan,28.6443363,77.1999274
61,Central Delhi,Karol Bagh,28.6529982,77.1890227
62,Central Delhi,Bara Hindu Rao,28.6595181,77.20501
63,Central Delhi,Paharganj,28.6419258,77.2217499
64,Central Delhi,Rajinder Nagar,28.6372,77.1824
65,Central Delhi,Sadar Bazaar,28.6585,77.2127
66,New Delhi,Barakhamba Road,28.6291417,77.2261489
67,New Delhi,Chanakyapuri,28.5946775,77.1885212
68,New Delhi,Connaught Place,28.6313827,77.2197924
69,New Delhi,Gautampuri,28.5115704,77.3026233
70,New Delhi,Gole Market,28.63371865,77.20562662
71,New Delhi,Golf Links,28.5959698,77.2311628
72,New Delhi,INA Colony,28.5794721,77.2124508
73,New Delhi,Khan Market,28.6001354,77.22649064
74,New Delhi,Laxmi Bai Nagar,28.578,77.2088
75,New Delhi,Pragati Maidan,28.6234593,77.2425121
76,East Delhi,Brij Puri,28.7025095,77.2737771
77,East Delhi,East Vinod Nagar,28.6227661,77.3075035
78,East Delhi,Gandhi Nagar,28.66,77.2626
79,East Delhi,Geeta Colony,28.65010115,77.2759209
80,East Delhi,Jhilmil Colony,28.6698142,77.3072827
81,East Delhi,Krishna Nagar,28.5637017,77.19340976
82,East Delhi,Laxmi Nagar,28.6303085,77.2775633
83,East Delhi,Mayur Vihar,28.6131071,77.2957221
84,East Delhi,Pandav Nagar,28.6501272,77.1532783
85,East Delhi,Patparganj,28.6115923,77.2905644
86,East Delhi,Preet Vihar,28.6377532,77.2951746
87,East Delhi,Anand Vihar,28.6256914,77.10194107
88,East Delhi,Shakarpur,28.62948875,77.28106073
89,East Delhi,Shastri Nagar,28.6746,77.1802
90,East Delhi,Seelampur,28.6699,77.2666
91,East Delhi,Vasundhara Enclave,28.60172565,77.3211225
92,East Delhi,Vishwas Nagar,28.66447005,77.29174139
93,East Delhi,Vivek Vihar,28.6691641,77.31226695
94,East Delhi,Shahdara,28.6773038,77.2903467
95,South Delhi,Alaknanda,28.5293364,77.2516323
96,South Delhi,Chhattarpur,28.5070073,77.1754171
97,South Delhi,Chittaranjan Park,28.5387523,77.24924935
98,South Delhi,Dayanand Colony,28.5621997,77.2476131
99,South Delhi,Defence Colony,28.5717909,77.2320102
100,South Delhi,East of Kailash,28.5570322,77.24461392
101,South Delhi,Friends Colony,28.5667513,77.2619181
102,South Delhi,Govindpuri,28.5354,77.2639
103,South Delhi,Greater Kailash,28.5546327,77.2285698
104,South Delhi,Green Park,28.5580022,77.2068211
105,South Delhi,Gulmohar Park,28.5571011,77.2130055
106,South Delhi,Hauz Khas,28.5442564,77.2067072
107,South Delhi,Hauz Khas Village,28.55385485,77.19471276
108,South Delhi,Jaitpur,28.5004766,77.3161916
109,South Delhi,Zamrudpur Village,28.5571,77.2369
110,South Delhi,Jangpura,28.58245705,77.24150007
111,South Delhi,Jasola,28.5422327,77.2943856
112,South Delhi,Jor Bagh,28.5865942,77.2125637
113,South Delhi,Kailash Colony,28.5530522,77.2429694
114,South Delhi,Kalkaji,28.54,77.2592
115,South Delhi,Khanpur,28.5127982,77.2323949
116,South Delhi,Khirki Village,28.5298852,77.2180771
117,South Delhi,Kotla Mubarakpur,28.5755,77.2274
118,South Delhi,Lajpat Nagar,28.5654623,77.2456272
119,South Delhi,Lodi Colony,28.59070215,77.22092057
120,South Delhi,Maharani Bagh,28.5720013,77.2633718
121,South Delhi,Malviya Nagar,28.5339201,77.2124474
122,South Delhi,Mehrauli,28.5218262,77.1783232
123,South Delhi,Neeti Bagh,28.5592511,77.2161665
124,South Delhi,Nehru Place,28.54925735,77.252952
125,South Delhi,Netaji Nagar,28.5735343,77.1863593
126,South Delhi,New Friends Colony,28.5671008,77.2697643
127,South Delhi,Nizamuddin West,28.588365,77.2449546
128,South Delhi,Okhla,28.5636616,77.2890546
129,South Delhi,Pul Pehalad Pur,28.4994,77.2918
130,South Delhi,Safdarjung Enclave,28.5656419,77.1934382
131,South Delhi,Sainik Farm,28.503746,77.21607253
132,South Delhi,Saket,28.5244107,77.2137253
133,South Delhi,Sangam Vihar,28.49770245,77.2391741
134,South Delhi,Sarita Vihar,28.5334785,77.2935232
135,South Delhi,Sarojini Nagar,28.5741575,77.1953703
136,South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
137,South Delhi,Shahpur Jat,28.5483303,77.214104
138,South Delhi,Siri Fort,28.5521464,77.2246983
139,South Delhi,South Extension,28.5685664,77.2205677
140,South Delhi,Sriniwaspuri,28.5652204,77.2547041
141,South Delhi,Sundar Nagar,28.6017,77.2434
142,South Delhi,Tughlaqabad,28.5111925,77.2623265
143,South Delhi,Badarpur,28.5036378,77.30197582
144,South West Delhi,Dabri,28.6097,77.0895
145,South West Delhi,Dwarka Sub City,28.5823,77.05
146,South West Delhi,Delhi Cantonment,28.5835356,77.12598539
147,South West Delhi,Dhaula Kuan,28.5918905,77.1617034
148,South West Delhi,Ghitorni,28.4938107,77.1491661
149,South West Delhi,Inderpuri,28.6286841,77.1470979
150,South West Delhi,Kirby Place,28.61174115,77.12852687
151,South West Delhi,Kishangarh Village,28.5194277,77.1665351
152,South West Delhi,Mahipalpur,28.5444849,77.1256912
