Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Adarsh Nagar,28.614192499999998,77.07154118,Bikanerwala,28.61339089253902,77.07608403328531,Indian Restaurant
Adarsh Nagar,28.614192499999998,77.07154118,Uttam nagar,28.620200607397145,77.06870939219054,Metro Station
Adarsh Nagar,28.614192499999998,77.07154118,Gold's Gym A Block Janakpuri,28.62243920154658,77.06934789493357,Gym
Adarsh Nagar,28.614192499999998,77.07154118,Potholes at Dabri,28.605308500874425,77.07250356656583,Pool
Ashok Vihar,28.6994533,77.1848256,Bellagio,28.696361101018056,77.18002105017133,Asian Restaurant
Ashok Vihar,28.6994533,77.1848256,Pentamed Canteen,28.699219972029947,77.19174820097714,Snack Place
Ashok Vihar,28.6994533,77.1848256,Subway,28.69632063168931,77.17998336484409,Sandwich Place
Ashok Vihar,28.6994533,77.1848256,Dunkin',28.705036830843877,77.19006901993055,Donut Shop
Ashok Vihar,28.6994533,77.1848256,Invitation Restaurant,28.696181557447208,77.17928699622868,Indian Restaurant
Ashok Vihar,28.6994533,77.1848256,Domino's Pizza,28.704,77.19,Pizza Place
Ashok Vihar,28.6994533,77.1848256,Sagar Ratna | सागर रतना,28.693381067058812,77.17797666086976,South Indian Restaurant
Ashok Vihar,28.6994533,77.1848256,Cafe Coffee Day,28.69610288506766,77.17994405382133,Coffee Shop
Ashok Vihar,28.6994533,77.1848256,McDonald's,28.70563888314002,77.19014763530008,Fast Food Restaurant
Azadpur,28.707656800000002,77.1755473,Arjun Pao Bhaji,28.708468173834454,77.18496322631836,Indian Restaurant
Azadpur,28.707656800000002,77.1755473,Azadpur,28.70866887677249,77.17910167163504,Bus Station
Azadpur,28.707656800000002,77.1755473,Rameshwar Nagar Park,28.71149154940595,77.18149402143138,Park
Azadpur,28.707656800000002,77.1755473,"D Park, Model Town",28.709258610495475,77.18463867902756,Park
Bawana,28.79966,77.03288470000001,Rajiv Gandhi Stadium,28.80181126364969,77.02875137329102,Playground
Begum Pur,28.7239,77.0609,Shankar Maggi Point,28.719357029832555,77.0659662701797,Restaurant
Begum Pur,28.7239,77.0609,Best Sanjha Chulha,28.719276685252293,77.06648904210286,Indian Restaurant
Begum Pur,28.7239,77.0609,MAIT Cafeteria (Part 2),28.71915430437899,77.06643845137074,Bakery
Begum Pur,28.7239,77.0609,Chole Kulche Vala,28.720516,77.07028,Food Truck
Jahangirpuri,28.7259717,77.162658,Jahangirpuri Metro Station | जहांगीरपुरी,28.726025752225787,77.16262578964233,Light Rail Station
Jahangirpuri,28.7259717,77.162658,Sargam Electronics,28.72811439973256,77.16826915740967,Electronics Store
Jahangirpuri,28.7259717,77.162658,Axis Bank ATM,28.7335621,77.1675615,ATM
Keshav Puram,28.688926399999996,77.16168329999999,Major Dhyan Chand Sports Complex,28.684029298330163,77.16748742045543,Athletics & Sports
Keshav Puram,28.688926399999996,77.16168329999999,Rahul Egg Corner,28.688240410906264,77.16859947234954,Snack Place
Keshav Puram,28.688926399999996,77.16168329999999,Kake Di Hatti | काके दी हट्टी,28.692933118144015,77.15277141175852,Indian Restaurant
Keshav Puram,28.688926399999996,77.16168329999999,McDonald's,28.692449639202426,77.15280511461941,Fast Food Restaurant
Keshav Puram,28.688926399999996,77.16168329999999,F - Block Market,28.689744487564482,77.16313459209786,Department Store
Keshav Puram,28.688926399999996,77.16168329999999,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Basketball Court
Keshav Puram,28.688926399999996,77.16168329999999,Haldiram,28.69293615099474,77.15287813742106,Indian Restaurant
Keshav Puram,28.688926399999996,77.16168329999999,Keshavpuram Metro Station,28.684354917616023,77.1640725698628,Train Station
Keshav Puram,28.688926399999996,77.16168329999999,Kanhaiya Nagar | कन्हैया नगर  Metro Station,28.68223129562289,77.1648027270765,Light Rail Station
Keshav Puram,28.688926399999996,77.16168329999999,D Mall,28.692602163998377,77.15274733819133,Shopping Mall
Kingsway Camp,28.614262300000004,77.2015548,Gurudwara Sri Rakabganj Sahibji,28.618295652202015,77.20526888508715,Spiritual Center
Kingsway Camp,28.614262300000004,77.2015548,Pandey Paan,28.6222491879439,77.20107475185938,Smoke Shop
Kingsway Camp,28.614262300000004,77.2015548,Hauz Khas Social,28.6139391,77.2090212,Music Venue
Kingsway Camp,28.614262300000004,77.2015548,Mughal Gardens | मुगल गार्डन (Mughal Gardens),28.617426891670306,77.19972708403638,Garden
Kingsway Camp,28.614262300000004,77.2015548,"Rashtrapati Bhawan, President's Estate Yeni Delhi Hindistan",28.61435,77.199715,Museum
Kingsway Camp,28.614262300000004,77.2015548,Mysore Cafe,28.608261,77.201475,Tea Room
Kohat Enclave,28.6980415,77.14053929999999,"Cafe 24, City Park",28.705728831986658,77.14352269506296,Coffee Shop
Kohat Enclave,28.6980415,77.14053929999999,Hotel City Park,28.70538164968315,77.1433675289154,Hotel
Kohat Enclave,28.6980415,77.14053929999999,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place
Kohat Enclave,28.6980415,77.14053929999999,Dilli Haat | दिल्ली हाट,28.695550260699935,77.14962576944839,Arts & Crafts Store
Kohat Enclave,28.6980415,77.14053929999999,Pitampura Sports Complex,28.698710300024874,77.15020996644064,Playground
Model Town,28.7095,77.1888,Arjun Pao Bhaji,28.708468173834454,77.18496322631836,Indian Restaurant
Model Town,28.7095,77.1888,cafe coffee day,28.70850581381088,77.19122886657715,Coffee Shop
Model Town,28.7095,77.1888,Dunkin',28.705036830843877,77.19006901993055,Donut Shop
Model Town,28.7095,77.1888,Domino's Pizza,28.704,77.19,Pizza Place
Model Town,28.7095,77.1888,McDonald's,28.70563888314002,77.19014763530008,Fast Food Restaurant
Model Town,28.7095,77.1888,HDFC Bank,28.704196,77.189309,Bank
Model Town,28.7095,77.1888,Rameshwar Nagar Park,28.71149154940595,77.18149402143138,Park
Model Town,28.7095,77.1888,videshibazaar.com,28.712123893325746,77.1972906589508,Shopping Mall
Model Town,28.7095,77.1888,Azadpur,28.70866887677249,77.17910167163504,Bus Station
Model Town,28.7095,77.1888,24SEVEN,28.702955914151072,77.19521821369096,Convenience Store
Narela,28.842609600000003,77.09183540000001,My Idea Store,28.842286,77.089922,Mobile Phone Shop
Narela,28.842609600000003,77.09183540000001,Samsung SmartCafé (Prem & Sons),28.84419,77.08936,Mobile Phone Shop
Narela,28.842609600000003,77.09183540000001,Satyam Multiplex,28.846123909330814,77.08334019392127,Multiplex
Pitam Pura,28.703267600000004,77.1322497,Hari Om Chole Bhature,28.70967336239139,77.13465474534773,Indian Restaurant
Pitam Pura,28.703267600000004,77.1322497,Domino's Pizza,28.701,77.124,Pizza Place
Pitam Pura,28.703267600000004,77.1322497,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place
